id,rating,target,english,primary_issue,proposed_target
hi-0851,4,जल का रासायनिक सूत्र H₂O है।,Chemical formula of water is H₂O.,जल formal — पानी,पानी का रासायनिक सूत्र H₂O है।
hi-0867,4,नेत्रहीन छात्र ने परीक्षा में अव्वल आया।,Blind student topped exam.,नेत्रहीन formal euphemism,
hi-0908,4,संन्यासी ने गेरुआ वस्त्र धारण किया।,Ascetic wore garments.,धारण किया formal — पहना,संन्यासी ने गेरुआ वस्त्र पहन लिए।
hi-0910,4,भ्रष्टाचार समाज को खोखला कर देता है।,Corruption hollows out society.,news-style,घूस समाज को बर्बाद कर देती है।
hi-0981,4,"बशर्ते पैसे हों, तो सब कुछ मिल सकता है।","If you have money, you can get anything.",बशर्ते formal conditional,अगर पैसे हों तो सब कुछ मिल सकता है।
hi-1015,4,प्राथमिक चिकित्सा का ज्ञान सबको होना चाहिए।,Everyone should know first aid.,प्राथमिक चिकित्सा + ज्ञान Sanskrit,सबको फ़र्स्ट एड का पता होना चाहिए।
hi-1018,4,बिना टिकट यात्रा करना दंडनीय अपराध है।,Traveling without ticket punishable.,दंडनीय legal Sanskrit,
hi-1019,4,छात्रों को समय पर पहुँचना अनिवार्य है।,Students must arrive on time.,अनिवार्य bureaucratic,छात्रों को समय पर पहुँचना ज़रूरी है।
hi-1049,4,वस्तु विनिमय प्राचीन व्यापार पद्धति थी।,Barter was ancient trading method.,वस्तु विनिमय + पद्धति Sanskrit,बार्टर प्राचीन व्यापार का तरीक़ा था।
hi-1062,4,नसों में ख़ून का प्रवाह सुचारू होना चाहिए।,Blood flow smooth.,प्रवाह + सुचारू Sanskrit,नसों में ख़ून सही से बहना चाहिए।
hi-1094,4,कृपया अपना संक्षिप्त परिचय दीजिए।,Please give brief introduction.,bureaucratic formal,
hi-1158,4,सूर्यग्रहण के दौरान सीधा सूरज मत देखो।,Don't look at sun during eclipse.,सूर्यग्रहण formal — ग्रहण,ग्रहण के समय सीधा सूरज मत देखो।
hi-1163,4,देहलीज़ पर पाँव रखकर घर में प्रवेश किया।,Entered house by stepping on threshold.,देहलीज़ + प्रवेश literary,दरवाज़े पर पाँव रखकर घर में आ गया।
hi-1181,4,गिद्ध विलुप्त होने की कगार पर हैं।,Vultures verge of extinction.,विलुप्त news-formal,
hi-1182,4,फागुन में होली का रंग चढ़ता है।,Holi in Phagun.,फागुन poetic month,
hi-1183,4,मंच पर कठपुतली का खेल दिखाया गया।,Puppet show on stage.,passive — हुआ,स्टेज पर पुतली का खेल हुआ।
hi-1209,4,चौवालीस विद्यार्थी कक्षा में उपस्थित थे।,44 students in class.,विद्यार्थी + उपस्थित bureaucratic,चवालीस स्टूडेंट्स क्लास में थे।
hi-1233,4,मेरे कार्यालय में बहुत मिलनसार सहकर्मी हैं।,Friendly colleagues in office.,कार्यालय + सहकर्मी formal,मेरे ऑफिस में बहुत अच्छे साथी हैं।
hi-1257,4,पंचतंत्र की कहानियाँ जानवरों के माध्यम से सिखाती हैं।,Stories teach through animals.,माध्यम formal — के ज़रिए,
hi-1275,4,छींक आने पर मुँह ढकना शिष्टाचार है।,Covering mouth when sneezing is etiquette.,शिष्टाचार formal — अदब,छींक आने पर मुँह ढकना अच्छी बात है।
hi-1285,4,तीर्थंकर जैन धर्म के संस्थापक माने जाते हैं।,Tirthankaras founders of Jainism.,संस्थापक formal,
hi-1366,4,गुड़ चीनी से स्वास्थ्यकर माना जाता है।,Jaggery healthier than sugar.,स्वास्थ्यकर Sanskrit + passive,
hi-1377,4,बरगद नीम से ज़्यादा छायादार वृक्ष है।,Banyan shadier than neem.,वृक्ष formal — पेड़,
hi-1405,4,राजेश के अनुसार यह अवधारणा पूर्णतः नई है।,"Per Rajesh, concept entirely new.",अवधारणा + पूर्णतः Sanskrit,
hi-1719,4,कोलकाता जाने के लिए राष्ट्रीय राजमार्ग पकड़ो।,Take national highway.,राष्ट्रीय राजमार्ग → हाईवे,कोलकाता जाने के लिए नेशनल हाईवे पकड़ो।
hi-1778,4,छायाचित्रकार ने प्रकृति की सुंदर तस्वीरें खींचीं।,Photographer took nature pictures.,छायाचित्रकार formal — फ़ोटोग्राफ़र,
hi-1816,4,ध्वनि तरंगों को आवृत्ति में मापा जाता है।,Sound waves measured in frequency.,academic passive,
hi-1911,4,विद्यार्थी ने शब्दकोश से नए शब्द ढूँढे।,Student looked up words.,विद्यार्थी formal — छात्र,
hi-1995,4,कूड़ेदान में कचरा डालना ज़रूरी है।,Put garbage in dustbin.,कूड़ेदान formal,
hi-2041,4,ज्योतिषी ने कुंडली देखकर भविष्य बताया।,Astrologer told future from horoscope.,religious-formal,
hi-2189,4,गंदे पानी को साफ़ करके पुनः उपयोग किया जाता है।,Dirty water cleaned and reused.,पुनः उपयोग Sanskrit — फिर से,
hi-2210,4,सरकारी ज़मीन पर अवैध कब्ज़ा हटाया गया।,Illegal encroachment removed.,अवैध legal — गैर कानूनी,
hi-2218,4,इस क़िले का निर्माण मुग़लों द्वारा किया गया।,Fort built by Mughals.,passive Sanskrit द्वारा,मुग़लों ने इस क़िले को बनवाया था।
hi-2250,4,सभी विद्यार्थियों ने परीक्षा में भाग लिया।,All students took exam.,विद्यार्थी formal,
hi-2281,4,सफ़ाईकर्मी ने गली की सफ़ाई की।,Cleaner cleaned street.,सफ़ाईकर्मी formal,
hi-2289,4,कविता ने पूरी परियोजना अकेले संभाली।,Kavita managed project.,परियोजना formal — प्रोजेक्ट,कविता ने पूरा प्रोजेक्ट अकेले सँभाला।
hi-2380,4,जैव विविधता संरक्षण ज़रूरी है।,Biodiversity conservation.,Sanskrit technical compound,
hi-2462,4,बच्चों को न सिर्फ़ पढ़ाई में बल्कि खेलकूद में भी रुचि लेनी चाहिए ताकि उनका संपूर्ण विकास हो सके।,Children should take interest in studies and sports.,संपूर्ण formal,
hi-2489,4,वैद्य ने नाड़ी देखकर रोग पहचाना।,Vaidya identified disease by pulse.,वैद्य formal — आयुर्वेद डॉक्टर,
hi-2500,4,सवेरे उठकर दातुन करना अच्छी आदत है।,Wake up and brush with twig.,दातुन archaic — दांत साफ करना,
hi-2613,4,प्रथमतः हम इस विषय की पृष्ठभूमि पर चर्चा करेंगे।,First we discuss background.,प्रथमतः + पृष्ठभूमि Sanskrit,
hi-2626,4,रेलगाड़ी प्लेटफ़ॉर्म पर सही वक़्त पर आई।,Train arrived at platform.,रेलगाड़ी → ट्रेन,ट्रेन प्लेटफॉर्म पर सही वक़्त पर आई।
hi-2701,4,यातायात पुलिस ने जुर्माना काटा।,Traffic police fined.,यातायात → ट्रैफिक,ट्रैफिक पुलिस ने जुर्माना काटा।
hi-3015,4,सतत विकास लक्ष्यों को प्राप्त करने हेतु सामूहिक प्रयास आवश्यक हैं।,Collective efforts for sustainable development.,हेतु Sanskrit postposition,
hi-3025,4,मस्जिद के ठीक सामने डाकघर है।,Post office in front of mosque.,डाकघर formal — पोस्ट ऑफिस,मस्जिद के ठीक सामने पोस्ट ऑफिस है।
hi-3134,4,इस परियोजना से जुड़े सभी लोगों को सूचित करो।,Inform all related to project.,परियोजना formal — प्रोजेक्ट,इस प्रोजेक्ट से जुड़े सभी लोगों को बता दो।
hi-0034,5,क्या आप पूर्ण शाकाहारी भोजन खाते हैं?,Do you eat completely vegetarian food?,भोजन formal — खाना is everyday,क्या आप पूरा शाकाहारी खाना खाते हैं?
hi-0042,5,क्या आप मुझे शुद्ध हिंदी सिखा सकते हैं?,Can you teach me pure Hindi?,शुद्ध हिंदी pedagogical framing,क्या आप मुझे सही हिंदी सिखा सकते हैं?
hi-0050,5,मेरा परिचय दूँ – मैं जयपुर में काम करता हूँ।,Let me introduce myself,परिचय दूँ formal,मेरे बारे में बताऊँ – मैं जयपुर में काम करता हूँ।
hi-0091,5,हम सप्ताह में दो बार बाज़ार जाते हैं।,We go to the market twice a week.,सप्ताह textbook — हफ़्ता everyday,हम हफ़्ते में दो बार बाज़ार जाते हैं।
hi-0100,5,हम दोपहर का भोजन ठीक एक बजे करते हैं।,afternoon meal at exactly one,भोजन formal,हम दोपहर को ठीक एक बजे खाना खाते हैं।
hi-0106,5,वे हँसमुख लोग हमेशा मिलकर ज़ोर से हँसते हैं।,cheerful people laugh loudly together,हँसमुख formal — ख़ुश-मिज़ाज़,वे ख़ुश-मिज़ाज़ लोग हमेशा मिलकर ज़ोर से हँसते हैं।
hi-0110,5,क्या तुम्हें विभिन्न प्रकार का खाना बनाना आता है?,various types of food,विभिन्न प्रकार bureaucratic — अलग-अलग तरह,क्या तुम्हें अलग-अलग तरह का खाना बनाना आता है?
hi-0112,5,हम दोनों एक ही विभाग में साथ काम करते हैं।,We work in the same department.,विभाग textbook — डिपार्टमेंट,हम दोनों एक ही डिपार्टमेंट में साथ काम करते हैं।
hi-0116,5,मेरे दयालु पड़ोसी हमेशा ज़रूरत में हमारी मदद करते हैं।,kind neighbors,दयालु formal — अच्छे,मेरे अच्छे पड़ोसी हमेशा ज़रूरत में हमारी मदद करते हैं।
hi-0176,5,मेरे पिताजी बहुत अनुभवी और बुद्धिमान व्यक्ति हैं।,experienced and wise person,अनुभवी + बुद्धिमान formal,मेरे पिताजी बहुत समझदार और होशियार हैं।
hi-0185,5,मेरी माँ बहुत धैर्यवान और शांत स्वभाव की हैं।,patient and calm by nature,धैर्यवान + शांत स्वभाव poetic-formal,मेरी माँ बहुत धीरज रखती है और शांत भी है।
hi-0202,5,हमारे स्कूल के सभी अध्यापक बहुत योग्य और समर्पित हैं।,teachers very capable and dedicated,अध्यापक → टीचर; समर्पित formal,हमारे स्कूल के सभी टीचर बहुत अच्छे हैं।
hi-0209,5,तराना एक शास्त्रीय गायन शैली है।,Tarana is a classical singing style.,शास्त्रीय गायन शैली encyclopedic,तराना एक classical singing style है।
hi-0274,5,पेड़ की छाया में बैठकर आराम करो।,Rest in the tree's shade.,borderline बैठक conflict (review),
hi-0332,5,खुली हवा में बैठकर किताब पढ़ने में आनंद आता है।,Pleasure reading in open air.,आनंद आता है formal — मज़ा आता है,
hi-0358,5,मैं विश्वविद्यालय में एक छात्र हूँ।,I am a student at the university.,विश्वविद्यालय → यूनिवर्सिटी,
hi-0727,5,"सुनीता जी, आपसे मिलकर प्रसन्नता हुई।",Pleased to meet you Sunita.,प्रसन्नता हुई formal,"सुनीता जी, आपसे मिलकर बहुत खुशी हुई।"
hi-0742,5,छात्रा ने पहेली का उत्तर दिया।,Student answered riddle.,उत्तर formal — जवाब,छात्रा ने पहेली का जवाब दिया।
hi-0887,5,ताड़ के पेड़ से ताड़ी निकाली जाती है।,Toddy extracted from palm.,passive Sanskrit,ताड़ के पेड़ से ताड़ी निकाल लेते हैं।
hi-1045,5,नाट्यशास्त्र भरतमुनि ने लिखा था।,Natyashastra written by Bharatamuni.,object fronting awkward,भरतमुनि ने नाट्यशास्त्र लिखा था।
hi-1089,5,वह अक्सर अपनी दयालु चाची के आरामदेह घर पर जाती है।,She visits kind aunt's comfortable house.,stacked Sanskrit adjectives दयालु+आरामदेह,वह अपनी प्यारी चाची के यहाँ अक्सर जाती है।
hi-1180,5,"विवेक से काम लो, जल्दबाज़ी मत करो।",Use discretion.,विवेक formal — अक्ल,"अक्ल से काम लो, जल्दबाज़ी मत करो।"
hi-1245,5,कान में बाली पहनने का रिवाज़ पुराना है।,Earrings tradition is old.,रिवाज़ formal — परंपरा/चलन,
hi-1290,5,वाराणसी विश्व के प्राचीनतम शहरों में से एक है।,Varanasi one of world's oldest cities.,विश्व + प्राचीनतम formal,वाराणसी दुनिया के सबसे पुराने शहरों में से एक है।
hi-1310,5,ट्रेन बस से ज़्यादा आरामदायक होती है।,Train more comfortable than bus.,आरामदायक formal — comfortable,
hi-1368,5,यह मेरा सबसे पसंदीदा भारतीय भोजनालय है।,Favorite Indian restaurant.,भोजनालय formal — रेस्तरां,
hi-1383,5,मोर सबसे सुंदर पक्षी माना जाता है।,Peacock most beautiful bird.,पक्षी formal — परिंदा,
hi-1388,5,हिमालय दुनिया का सबसे ऊँचा पर्वत है।,Himalaya highest mountain.,पर्वत formal — पहाड़,
hi-1400,5,पर्वतीय हवा मैदानी हवा से शुद्ध होती है।,Mountain air purer than plains.,पर्वतीय formal — पहाड़ी,
hi-1411,5,गर्मी में आम सबसे लोकप्रिय फल होता है।,Mango most popular fruit in summer.,लोकप्रिय formal — पसंदीदा,
hi-1510,5,बरगद सबसे विशाल वृक्षों में गिना जाता है।,Banyan among largest trees.,वृक्ष formal,
hi-1518,5,ताजमहल दुनिया के सबसे मशहूर स्मारकों में से है।,Taj Mahal among famous monuments.,स्मारक formal,
hi-1635,5,संगीत की महफ़िल हर शाम सभागार में होती थी।,Music gatherings in hall.,संगीत/सभागार formal,
hi-1688,5,रेलगाड़ी पुल के ऊपर से गुज़रती है।,Train passes over bridge.,रेलगाड़ी → ट्रेन,ट्रेन पुल के ऊपर से गुज़रती है।
hi-1700,5,वह पढ़ाई के लिए रोज़ पुस्तकालय जाता है।,He goes to library daily.,पुस्तकालय → लाइब्रेरी,वह पढ़ाई के लिए रोज़ लाइब्रेरी जाता है।
hi-1734,5,हम छायादार पेड़ों के नीचे बैठकर शांति से पढ़ते हैं।,Sit under shady trees and study.,छायादार formal,
hi-1754,5,वह परीक्षा के लिए बहुत ध्यान और लगन से पढ़ती है।,Studies with attention and dedication.,लगन textbook,
hi-1759,5,सत्य की राह कठिन होती है पर सही होती है।,Path of truth difficult but right.,राह poetic — रास्ता,
hi-1765,5,अंधे व्यक्ति ने ब्रेल लिपि सीखी।,Blind person learned Braille.,stiff construction,
hi-1777,5,सूरज क्षितिज से ऊपर उठ रहा था।,Sun rising above horizon.,literary phrasing,सूरज निकल रहा था।
hi-1781,5,पीतल के बर्तन रसोई में इस्तेमाल होते हैं।,Brass utensils used in kitchen.,passive,हम रसोई में पीतल के बर्तन इस्तेमाल करते हैं।
hi-1793,5,"कारवाँ आगे बढ़ता गया, थकान की परवाह किए बिना।",Caravan moved on.,कारवाँ poetic — काफ़िला,
hi-1821,5,सिंधु घाटी सभ्यता विश्व की प्राचीनतम सभ्यताओं में है।,Indus Valley among oldest civilizations.,प्राचीनतम formal,
hi-1876,5,सचिन को बताइए कि बैठक ज़रूरी है।,Tell Sachin meeting is necessary.,बैठक formal — मीटिंग,सचिन को बताइए कि मीटिंग ज़रूरी है।
hi-1909,5,खगोलशास्त्री ने नई दूरबीन से तारे देखे।,Astronomer observed stars.,खगोलशास्त्री Sanskrit compound,
hi-1910,5,गायन और वादन दोनों में महारत चाहिए।,Mastery in singing and instrumental.,गायन/वादन formal Sanskrit,
hi-1994,5,श्यामपट पर अध्यापक ने सूत्र लिखा।,Teacher wrote on blackboard.,श्यामपट + अध्यापक formal,ब्लैकबोर्ड पर शिक्षक ने सूत्र लिखा।
hi-1996,5,संकाय ने नए पाठ्यक्रम को मंज़ूरी दी।,Faculty approved new curriculum.,संकाय + पाठ्यक्रम academic,
hi-2031,5,तलवारबाज़ी में फुर्ती और कौशल चाहिए।,Fencing needs agility.,कौशल formal — हुनर,
hi-2034,5,पांडुलिपि में कई हस्तलिखित टिप्पणियाँ थीं।,Manuscript had handwritten notes.,पांडुलिपि + हस्तलिखित Sanskrit,
hi-2035,5,गृह प्रवेश पर नारियल फोड़ा गया।,Coconut broken at housewarming.,गृह प्रवेश ritual Sanskrit,
hi-2036,5,परेड में सैनिकों ने कदमताल किया।,Soldiers marched in step.,कदमताल formal compound,
hi-2089,5,मठ में धार्मिक शिक्षा दी जाती है।,Religious education at monastery.,धार्मिक शिक्षा Sanskrit,
hi-2101,5,दरवेश ने क़लंदर की तरह भटकते हुए जीवन बिताया।,Dervish lived wandering life.,poetic archaic,
hi-2106,5,दक्षिणा में शिष्य ने गुरु को स्वर्ण मुद्रा दी।,Disciple gave gold coin to teacher.,high formal Sanskrit ritual,
hi-2143,5,मंदिर का जीर्णोद्धार किया जा रहा है।,Temple being renovated.,जीर्णोद्धार formal — मरम्मत,मंदिर की मरम्मत की जा रही है।
hi-2163,5,वर्गमूल निकालना बीजगणित में सिखाया जाता है।,Square root in algebra.,वर्गमूल + बीजगणित Sanskrit math,
hi-2181,5,विद्यालय में नया पुस्तकालय स्थापित किया गया है।,New library in school.,विद्यालय + पुस्तकालय both formal,
hi-2191,5,सभी आवेदन पत्र समय सीमा से पहले जमा किए गए।,Applications submitted before deadline.,समय सीमा formal — डेडलाइन,
hi-2220,5,राहुल को चेन्नई का सर्वश्रेष्ठ कर्मचारी चुना गया।,Rahul chosen best employee.,सर्वश्रेष्ठ Sanskrit — सबसे अच्छा,
hi-2225,5,खेल प्रतियोगिता में सभी विद्यालयों को आमंत्रित किया गया।,All schools invited to sports.,विद्यालयों + आमंत्रित formal,
hi-2271,5,भूमध्य रेखा पृथ्वी को दो भागों में बाँटती है।,Equator divides Earth.,भूमध्य रेखा textbook Sanskrit,
hi-2279,5,उपन्यास पढ़ने से कल्पनाशक्ति बढ़ती है।,Reading novels increases imagination.,कल्पनाशक्ति rare compound,
hi-2285,5,मूर्तिकार ने संगमरमर से प्रतिमा तराशी।,Sculptor carved statue.,प्रतिमा religious + तराशी archaic,मूर्तिकार ने संगमरमर से मूर्ति बनाई।
hi-2293,5,भिन्न में अंश और हर होता है।,Fraction has numerator and denominator.,Sanskrit math terms,
hi-2294,5,समीक्षक ने नाटक की आलोचना प्रकाशित की।,Critic published review.,समीक्षक + आलोचना formal,
hi-2296,5,सम्मेलन में वक्ता ने मूल्यवान विचार रखे।,Speaker presented at conference.,सम्मेलन + वक्ता + मूल्यवान Sanskrit,
hi-2298,5,बाणभट्ट ने कादंबरी की रचना संस्कृत में की।,Banabhatta composed Kadambari.,रचना formal — लिखा,
