id,score,target,english,tags,offenders,suggested_replacements
ru-2836,1,"Умывшись, он сел завтракать.","Having washed up, he sat down to have breakfast.",family|general|travel,"Умывшись,","Умывшись, → (restructure)"
ru-2844,1,Идущий по улице человек – мой сосед.,The person walking along the street is my neighbor.,family|general|travel,Идущий,Идущий → (restructure)
ru-2850,1,Работающий в офисе человек редко выходит на прогулку.,The person working in the office rarely goes for a walk.,family|general|travel|work,Работающий,Работающий → (restructure)
ru-2856,1,Танцующая пара красивая.,The dancing couple is beautiful.,general,Танцующая,Танцующая → (restructure)
ru-2860,1,"Пообедав, мы продолжили путь.","Having had lunch, we continued our journey.",general|travel,"Пообедав,","Пообедав, → (restructure)"
ru-2884,1,Товары доставляются на дом в течение трёх дней.,Goods are delivered to your home within three days.,family|general,в течение,в течение → за
ru-2885,1,Вопрос обсуждался на собрании в течение двух часов.,The question was discussed at the meeting for two hours.,general|travel|work,в течение,в течение → за
ru-2895,1,Созревшие плоды падают.,The ripe fruits fall.,general,Созревшие,Созревшие → (restructure)
ru-2904,1,Библиотекарь расставил по полкам вновь поступившие книги.,The librarian arranged the newly arrived books on the shelves.,general|travel|work,поступившие,поступившие → (restructure)
ru-2906,1,"Подумав, он согласился.","Having thought, he agreed.",general,"Подумав,","Подумав, → (restructure)"
ru-2977,1,"Закон нарушен водителем, превысившим скорость на трассе.",The law was broken by the driver who exceeded the speed on the highway.,general|work,превысившим,превысившим → (restructure)
ru-3042,1,"Хлеб-соль – традиционное русское приветствие для почётных гостей, символизирующее гостеприимство и дружбу.","Bread and salt is the traditional Russian welcome for honoured guests, symbolising hospitality and friendship.",family|general,символизирующее,символизирующее → (restructure)
ru-3160,1,"Для того чтобы получить визу, нужны документы.","In order to get a visa, you need documents.",general|travel,для того чтобы,для того чтобы → чтобы
ru-3207,1,"В то время как он работал, она готовила ужин.","While he was working, she was cooking dinner.",family|general|travel|work,в то время как,в то время как → а
ru-3313,1,"Несмотря на то что шёл дождь, мы пошли гулять.","Despite the rain, we went for a walk.",general|travel,несмотря на то что,несмотря на то что → хотя
ru-3316,1,"Масленица – любимый русский праздник блинов, знаменующий конец зимы и приход весны.",Maslenitsa is the beloved Russian pancake festival that marks the end of winter and the coming of spring.,general|travel,знаменующий,знаменующий → (restructure)
ru-2520,1,"Он богат, однако несчастлив.","He is rich, but unhappy.",general,однако,однако → но
