id,score,target,english,tags,offenders,suggested_replacements
hi-0034,1,क्या आप पूर्ण शाकाहारी भोजन खाते हैं?,Do you eat completely vegetarian food?,family|general|travel,भोजन,भोजन → खाना
hi-0041,1,बस अड्डे तक पैदल कितना समय लगता है?,How much time does it take to walk to the bus stand?,general,समय,समय → टाइम
hi-0074,1,वह हमेशा समय पर काम पर पहुँचता है।,He always reaches work on time.,general|travel|work,समय,समय → टाइम
hi-0088,1,वह हमेशा ठीक समय पर दफ़्तर पहुँचता है।,He always reaches the office right on time.,general|travel|work,समय,समय → टाइम
hi-0100,1,हम दोपहर का भोजन ठीक एक बजे करते हैं।,We have our afternoon meal at exactly one o'clock.,family|general|travel,भोजन,भोजन → खाना
hi-0200,1,वह पूरी कक्षा में सबसे तेज़ और होशियार विद्यार्थी है।,He is the sharpest and smartest student in the entire class.,general|work,विद्यार्थी,विद्यार्थी → स्टूडेंट
hi-0233,1,कैसे हो मित्र? सब कुशल-मंगल?,How are you friend? All well?,family|general,मित्र,मित्र → दोस्त
hi-0242,1,रेलवे स्टेशन कितनी दूर है?,How far is the railway station?,general|travel,रेलवे स्टेशन,रेलवे स्टेशन → स्टेशन
hi-0308,1,रेलवे स्टेशन शहर के पूर्वी छोर पर है।,The railway station is at the eastern end of the city.,general|travel,रेलवे स्टेशन,रेलवे स्टेशन → स्टेशन
hi-0314,1,यह सपना सच होने में अभी बहुत समय लगेगा।,It will still take a lot of time for this dream to come true.,family|general|travel,समय,समय → टाइम
hi-0350,1,सत्तर प्रतिशत विद्यार्थी पास हुए।,Seventy percent students passed.,general|work,विद्यार्थी,विद्यार्थी → स्टूडेंट
hi-0406,1,बस अड्डा यहाँ से दो किलोमीटर दूर है।,The bus station is two kilometers from here.,general|travel,बस अड्डा,बस अड्डा → बस स्टैंड
hi-0409,1,अस्सी प्रतिशत विद्यार्थी इस परीक्षा में सफल हुए।,Eighty percent of students passed this exam.,general|work,विद्यार्थी,विद्यार्थी → स्टूडेंट
hi-0474,1,अट्ठाईस फ़रवरी को कोई विशेष कार्यक्रम नहीं है।,There is no special program on twenty-eighth February.,general|work,कार्यक्रम,कार्यक्रम → प्रोग्राम
hi-0539,1,मेरे जीवन में कई बहुत अच्छे मित्र हैं।,I have many very good friends in my life.,family|general,मित्र,मित्र → दोस्त
hi-0615,1,"अवश्य, मैं ज़रूर समय पर आऊँगा।","Certainly, I will definitely come on time.",general|travel,समय,समय → टाइम
hi-0752,1,दर्ज़ी ने कपड़े समय पर सिल दिए।,The tailor sewed the clothes on time.,family|general,समय,समय → टाइम
hi-0774,1,मेरे नाना-नानी ने बहुत कठिन समय देखा है।,My maternal grandparents have seen very difficult times.,family|general|work,समय,समय → टाइम
hi-0781,1,दस हज़ार लोगों ने इस कार्यक्रम में भाग लिया।,Ten thousand people participated in this program.,family|general|work,कार्यक्रम,कार्यक्रम → प्रोग्राम
hi-0784,1,मज़दूरों ने सड़क का काम समय पर पूरा किया।,The workers completed the road work on time.,family|general|travel,समय,समय → टाइम
hi-0871,1,सचिन इस समय किताब पढ़ रहा है।,Sachin is reading a book at this time.,general|travel|work,समय,समय → टाइम
hi-0873,1,सरला इस समय गाना गा रही है।,Sarla is singing a song at this time.,general|travel,समय,समय → टाइम
hi-0902,1,इस समय मेरी माँ घर पर आराम कर रही हैं।,At this time my mother is resting at home.,family|general|travel,समय,समय → टाइम
hi-0933,1,कत्थक में चक्कर काटते समय घुँघरू बजते हैं।,Ankle bells ring while spinning in Kathak.,general,समय,समय → टाइम
hi-0961,1,बच्चों को समय पर सोना चाहिए।,Children should sleep on time.,family|general|travel,समय,समय → टाइम
hi-0988,1,शताब्दी एक्सप्रेस समय पर पहुँची।,The Shatabdi Express arrived on time.,general|travel,समय,समय → टाइम
hi-1019,1,छात्रों को समय पर पहुँचना अनिवार्य है।,It is mandatory for students to arrive on time.,general|travel|work,समय,समय → टाइम
hi-1092,1,मैं खाली समय में अपने पुराने दोस्तों के साथ कैरम खेलता हूँ।,I play carrom with my old friends in free time.,family|general|travel,समय,समय → टाइम
hi-1209,1,चौवालीस विद्यार्थी कक्षा में उपस्थित थे।,Forty-four students were present in class.,family|general|work,विद्यार्थी,विद्यार्थी → स्टूडेंट
hi-1319,1,सुबह का नाश्ता दिन का सबसे ज़रूरी भोजन होता है।,Morning breakfast is the most important meal of the day.,family|general|travel|work,भोजन,भोजन → खाना
hi-1352,1,इस कक्षा में पैंतीस विद्यार्थी पढ़ते हैं।,Thirty-five students study in this class.,general|work,विद्यार्थी,विद्यार्थी → स्टूडेंट
hi-1649,1,अगर सुषमा समय पर आ जाता तो हम साथ चल सकते थे।,"If Sushma had arrived on time, we could have gone together.",family|general|travel,समय,समय → टाइम
hi-1760,1,अगर ट्रेन समय पर आई तो हम शाम तक पहुँच जाएँगे।,"If the train comes on time, we will reach by evening.",general|travel,समय,समय → टाइम
hi-1867,1,"दवाई समय पर लेना, मत भूलना।","Take medicine on time, don't forget.",family|general|travel,समय,समय → टाइम
hi-1898,1,"माफ कीजिए, रेलवे स्टेशन कहाँ है?","Excuse me, where is the railway station?",general|travel,रेलवे स्टेशन,रेलवे स्टेशन → स्टेशन
hi-1911,1,विद्यार्थी ने शब्दकोश से नए शब्द ढूँढे।,The student looked up new words in the dictionary.,general|work,विद्यार्थी,विद्यार्थी → स्टूडेंट
hi-2060,1,"जो विद्यार्थी मेहनत करता है, वह सफल होता है।",The student who works hard succeeds.,general|work,विद्यार्थी,विद्यार्थी → स्टूडेंट
hi-2191,1,सभी आवेदन पत्र समय सीमा से पहले जमा किए गए।,All application forms were submitted before the deadline.,general|work,समय,समय → टाइम
hi-2200,1,भोजन सबको बराबर बाँटा गया।,Food was distributed equally to everyone.,family|general|travel,भोजन,भोजन → खाना
hi-2305,1,प्रिया ने समय सीमा से पहले पूरा असाइनमेंट पूरा किया।,Priya completed the entire assignment before the deadline.,general|work,समय,समय → टाइम
hi-2340,1,इस पुल को पार करते ही बस अड्डा मिल जाएगा।,You will find the bus station right after crossing this bridge.,general|travel,बस अड्डा,बस अड्डा → बस स्टैंड
hi-2375,1,परीक्षा में कुल दो घंटे का समय मिलेगा।,A total of two hours will be given in the exam.,general|travel|work,समय,समय → टाइम
hi-2545,1,बवासीर का इलाज समय पर करवाओ।,Get piles treated on time.,general|travel,समय,समय → टाइम
hi-2555,1,आशा ने वादा किया कि वह समय पर पहुँचेगी।,Asha promised she will arrive on time.,general,समय,समय → टाइम
hi-2730,1,"मनीष जी, आपका बहुमूल्य समय देने के लिए धन्यवाद।","Manish ji, thank you for giving your valuable time.",general|travel,समय,समय → टाइम
hi-2731,1,"कविता जी, आपका बहुमूल्य समय देने के लिए धन्यवाद।","Kavita ji, thank you for giving your valuable time.",general|travel,समय,समय → टाइम
hi-2797,1,"जिस तरह से तकनीक बदल रही है, उससे लगता है कि आने वाला समय बहुत अलग होगा।","The way technology is changing, it seems the future will be very different.",general|travel|work,समय,समय → टाइम
hi-2806,1,पौधे प्रकाश संश्लेषण से भोजन बनाते हैं।,Plants make food through photosynthesis.,family|general|travel,भोजन,भोजन → खाना
hi-2825,1,सोते समय अचानक तेज़ आवाज़ आई।,"While sleeping, a loud noise suddenly came.",family|general|travel,समय,समय → टाइम
hi-2827,1,चलते समय अचानक पैर फिसल गया।,"While walking, the foot suddenly slipped.",family|general,समय,समय → टाइम
hi-2829,1,खाना खाते समय अचानक बिजली चली गई।,"While eating, the electricity suddenly went off.",family|general,समय,समय → टाइम
hi-2831,1,पढ़ते समय अचानक दरवाज़े की घंटी बजी।,"While studying, the doorbell suddenly rang.",family|general|travel,समय,समय → टाइम
hi-2835,1,काम करते समय अचानक बारिश शुरू हो गई।,"While working, it suddenly started raining.",family|general|travel,समय,समय → टाइम
hi-2855,1,श्याम की वजह से ही यह काम समय पर पूरा हो पाया।,It was only because of Shyam that this work was completed on time.,general|travel|work,समय,समय → टाइम
