English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
I have time today.,I eat breakfast at home.,I am hungry.,Açım.,Jag är hungrig.,,
I have work today.,I go to work by train.,I live near a grocery store.,Bir bakkalın yakınında yaşıyorum.,Jag bor nära en matbutik.,,
I have free time now.,You eat lunch at noon.,You are late.,Geç kaldın.,Du är sen.,,
I have a question.,You go home after work.,Do you work on Saturdays?,Cumartesileri çalışıyor musunuz?,Arbetar du på lördagar?,,
I have an answer.,You do not eat meat.,He is a pilot.,O bir pilot.,Han är en pilot.,,
My name is Antoine.,He eats rice for dinner.,He lives in many different cities.,O birçok farklı şehirde oturur.,Han bor i många olika städer.,,
My family is small.,He goes to school every day.,She is a nurse.,O bir hemşire.,Hon är sjuksköterska.,,
My family is nice.,He sleeps eight hours at night.,Does she work at night?,O gece çalışıyor mu?,Arbetar hon på natten?,,
My mother is kind.,He does not go out on weekdays.,We are ready.,Hazırız.,Vi är redo.,,
My father is calm.,She eats fruit in the morning.,We work together on this project.,Biz bu proje üzerinde birlikte çalışıyoruz.,Vi arbetar tillsammans med det här projektet.,,
My brother is young.,She goes to the gym after work.,They are from France.,Onlar Fransa'dan.,De kommer från Frankrike.,,
My sister is older.,She sleeps early on weekdays.,They live in Paris.,Paris'te yaşarlar.,De bor i Paris.,,
My parents are here.,She does not eat sugar.,I am a writer.,Ben bir yazarım.,Jag är en författare.,,
My parents are together.,We eat together on weekends.,His name is Antonio.,Adı Antonio'dur.,Hans namn är Antonio.,,
My parents are at home.,We go to the park on Sunday.,I eat breakfast early every morning.,Her sabah erken kahvaltı yaparım.,Jag äter frukost tidigt varje morgon.,,
My house is small.,We sleep late on Saturday.,I go to the gym before work.,İşten önce spor salonuna giderim.,Jag går till gymmet före jobbet.,,
My apartment is clean.,We do not go to work on Sunday.,You sleep for eight hours every night.,Her gece sekiz saat uyursunuz.,Du sover i åtta timmar varje natt.,,
My job is new.,They eat dinner at home.,You go to the park on weekends.,Siz hafta sonları parka gidersiniz.,Du går till parken på helgerna.,,
My work is interesting.,They go to the office by bus.,He eats lunch at his desk.,Öğle yemeğini masasında yer.,Han äter lunch vid sitt skrivbord.,,
My phone is new.,They sleep during the night.,He goes to the library after class.,"O, dersten sonra kütüphaneye gider.",Han går till biblioteket efter lektionen.,,
My computer is old.,They do not eat fast food.,She sleeps during the afternoon.,O öğleden sonra uyur.,Hon sover på eftermiddagen.,,
My bag is heavy.,I eat soup for lunch.,She goes to the cinema with friends.,"O, arkadaşlarıyla sinemaya gidiyor.",Hon går på bio med vänner.,,
My passport is valid.,I sleep well after exercise.,We eat dinner at six o'clock.,Saat altıda akşam yemeği yeriz.,Vi äter middag klockan sex.,,
I am your friend.,I do not go to bed late.,We go to the supermarket on Mondays.,Pazartesileri süpermarkete gideriz.,Vi går till mataffären på måndagar.,,
You are my friend.,You eat vegetables every day.,They sleep in a large hotel.,Büyük bir otelde uyurlar.,De sover på ett stort hotell.,,
You are welcome here.,You sleep during long trips.,I feel happy today.,Bugün mutluyum.,Jag känner mig glad idag.,,
You are very kind.,You do not go out at night.,I feel tired this evening.,Bu akşam yorgun hissediyorum.,Jag känner mig trött i kväll.,,
You are from Canada.,He eats fish on Friday.,She feels calm at home.,Evde sakin hissediyor.,Hon känner sig lugn hemma.,,
You are young.,He does not sleep during meetings.,He feels nervous before the test.,Sınavdan önce gergin hissediyor.,Han känner sig nervös inför provet.,,
You are ready.,She does not go to bed early.,We feel safe in this place.,Bu yerde kendimizi güvende hissediyoruz.,Vi känner oss trygga på den här platsen.,,
He is my brother.,We do not eat late dinners.,They feel excited about the trip.,Seyahat için heyecanlı hissediyorlar.,De känner sig förväntansfulla inför resan.,,
He is twenty-five years old.,I order coffee at the restaurant.,I feel sad right now.,Şu an üzgünüm.,Jag känner mig ledsen just nu.,,
He is from Italy.,Do you want coffee with milk?,She feels angry this morning.,O bu sabah kızgın hissediyor.,Hon känner sig arg i morse.,,
He is Italian.,She buys bread at the market.,He feels bored at home.,Evde sıkılıyor.,Han känner sig uttråkad hemma.,,
He is at work.,Does he like fresh bread?,We feel proud of our work.,İşimizle gurur duyuyoruz.,Vi känner oss stolta över vårt arbete.,,
He is tired today.,We eat rice for lunch.,They feel afraid during the storm.,Fırtına sırasında korkuyorlar.,De känner sig rädda under stormen.,,
She is my sister.,Do they sell rice here?,I feel cold without a jacket.,Ceketsiz üşüyorum.,Jag fryser utan jacka.,,
She is thirty years old.,I pay for apples at the stall.,She feels hot in the sun.,O güneşte sıcak hissediyor.,Hon känner sig varm i solen.,,
She is from Spain.,Are the apples fresh today?,He feels sick today.,Bugün kendini hasta hissediyor.,Han mår illa idag,,
She is Spanish.,You drink tea in the café.,I am not well this evening.,Bu akşam iyi değilim.,Jag mår inte bra ikväll.,,
She is at home.,Is the tea hot enough?,I feel better now.,Şimdi daha iyi hissediyorum.,Jag mår bättre nu.,,
She is happy today.,They cook chicken at home.,My head hurts.,Başım ağrıyor.,Jag har ont i huvudet.,,
We are friends.,Do we have chicken for dinner?,Her stomach hurts after lunch.,Öğle yemeğinden sonra karnı ağrıyor.,Hennes mage gör ont efter lunch.,,
We are from Europe.,He eats soup at noon.,I am hungry after work.,İşten sonra acıktım.,Jag är hungrig efter jobbet.,,
We are ready now.,Does the soup have vegetables?,You are thirsty after the walk.,Yürüyüşten sonra susadın.,Du är törstig efter promenaden.,,
We are together today.,She orders pasta for dinner.,I am full after the meal.,Yemekten sonra doydum.,Jag är mätt efter maten.,,
They are my parents.,Is the pasta ready now?,I sleep eight hours at night.,Gece sekiz saat uyurum.,Jag sover åtta timmar på natten.,,
They are older.,We buy cheese in the shop.,She does not sleep late on Fridays.,O Cuma günleri geç uyumaz.,Hon sover inte länge på fredagar.,,
They are from France.,Do you like this cheese?,They do not sleep on the bus.,Onlar otobüste uyumazlar.,De sover inte på bussen.,,
They are French.,I choose fish for dinner.,I wake up at six in the morning.,Sabah saat altıda uyanıyorum.,Jag vaknar klockan sex på morgonen.,,
They are at home.,Is the fish expensive today?,He feels sleepy after lunch.,Öğle yemeğinden sonra uykusu gelir.,Han känner sig sömnig efter lunch.,,
It is one o’clock now.,My work starts at nine on Monday.,I drink tea in the morning.,Sabahları çay içerim.,Jag dricker te på morgonen.,,
It is two o’clock in the afternoon.,The train arrives at seven thirty on Tuesday.,She drinks one glass of water.,O bir bardak su içer.,Hon dricker ett glas vatten.,,
It is three o’clock in the morning.,The bus leaves at six in the morning on Wednesday.,He does not drink coffee at night.,O geceleri kahve içmez.,Han dricker inte kaffe på natten.,,
It is four o’clock now.,Our class starts at ten on Thursday.,We drink two cups of tea.,Biz iki fincan çay içeriz.,Vi dricker två koppar te.,,
It is five o’clock today.,Her shift starts at eight on Friday.,I need one cold drink.,Bir soğuk içecek istiyorum.,Jag behöver en kall dryck.,,
It is six o’clock in the evening.,His flight arrives at noon on Saturday.,I eat rice for dinner.,Akşam yemeğinde pilav yerim.,Jag äter ris till middag.,,
It is seven o’clock now.,The meeting starts at eleven on Monday.,We do not eat spicy food.,Biz acı yemek yemeyiz.,Vi äter inte stark mat.,,
It is eight o’clock in the morning.,My lunch break starts at twelve on Tuesday.,He does not eat fast food.,O fast food yemez.,Han äter inte snabbmat.,,
It is nine o’clock now.,The shop opens and starts sales at nine on Wednesday.,She eats vegetables every day.,Her gün sebzeler yer.,Hon äter grönsaker varje dag.,,
It is ten o’clock today.,The movie starts at seven in the evening on Thursday.,I eat one boiled egg for breakfast.,Kahvaltıda bir haşlanmış yumurta yerim.,Jag äter ett kokt ägg till frukost.,,
It is eleven o’clock in the morning.,Our project starts on Monday morning.,They fry two eggs in the pan.,Tavada iki yumurta kızartırlar.,De steker två ägg i pannan.,,
It is twelve o’clock at noon.,Their trip starts on Friday afternoon.,I walk to the bus stop.,Otobüs durağına yürüyorum.,Jag går till busshållplatsen.,,
It is one thirty now.,The doctor arrives at the clinic at eight on Monday.,We wait together for ten minutes.,On dakika birlikte bekleriz.,Vi väntar tillsammans i tio minuter.,,
It is two thirty in the afternoon.,The teacher arrives at school early on Tuesday.,She walks slowly because she is tired.,Yavaş yürüyor çünkü yorgun.,Hon går långsamt eftersom hon är trött.,,
It is three thirty today.,The delivery arrives at the office on Wednesday.,He runs five miles every morning.,Her sabah beş mil koşar.,Han springer fem mil varje morgon.,,
It is four thirty now.,The package arrives in the afternoon on Thursday.,They sit down after a long day.,Uzun bir günün ardından otururlar.,De sätter sig efter en lång dag.,,
It is five thirty in the evening.,The team arrives at the stadium on Friday.,I go to the city today.,Bugün şehre gidiyorum.,Jag åker till stan idag.,,
It is six thirty now.,The guests arrive for dinner on Saturday evening.,We travel by train.,Trenle seyahat ederiz.,Vi reser med tåg.,,
It is seven thirty in the morning.,My train leaves at six thirty on Monday.,She stays at home tonight.,O bu gece evde kalır.,Hon stannar hemma ikväll.,,
It is eight thirty today.,Her bus leaves at seven on Tuesday.,They do not go to the club.,Onlar kulübe gitmezler.,De går inte till klubben.,,
I wake up at six o’clock.,His flight leaves at nine in the morning on Wednesday.,I do not go to the mountains.,Dağlara gitmem.,Jag går inte till fjällen.,,
I start work at nine o’clock.,Our meeting leaves no time for lunch on Thursday.,I do not play video games.,Video oyunları oynamam.,Jag spelar inte datorspel.,,
I finish work at five o’clock.,The ferry leaves the port on Friday morning.,You do not drive a truck.,Sen kamyon sürmezsin.,Du kör inte en lastbil.,,
I have a meeting at ten o’clock.,The group leaves the office early on Saturday.,He does not watch television.,O televizyon izlemez.,Han tittar inte på TV.,,
I have lunch at twelve o’clock.,School starts again on Monday.,We do not use a computer at home.,Evde bilgisayar kullanmıyoruz.,Vi använder ingen dator hemma.,,
I have dinner at seven o’clock.,Work starts late on Tuesday.,I write messages to my family.,Aileme mesajlar yazarım,Jag skriver meddelanden till min familj.,,
I have an appointment at three thirty.,The conference starts on Wednesday morning.,You carry a heavy bag to school.,Okula ağır bir çanta taşıyorsun.,Du bär en tung väska till skolan.,,
I have two meetings today.,The holiday starts on Friday evening.,He cleans the room every Saturday.,O her cumartesi odayı temizler.,Han städar rummet varje lördag.,,
I have five tasks today.,The week starts on Monday for everyone.,She washes her hair every morning.,O her sabah saçlarını yıkar.,Hon tvättar sitt hår varje morgon.,,
I have ten emails today.,The course starts next month on a Monday.,We stand together at the bus stop.,Biz otobüs durağında birlikte duruyoruz.,Vi står tillsammans vid busshållplatsen.,,
Today is Monday.,The chair is next to the table in the kitchen.,Do you have two fresh apples today?,Bugün iki taze elmanız var mı?,Har du två färska äpplen idag?,,
Tomorrow is Tuesday.,The bed is between the window and the door in the bedroom.,I want to buy three bananas.,Üç muz almak istiyorum.,Jag vill köpa tre bananer.,,
Yesterday is Sunday.,The rug is under the table in the living room.,Can I have one cup of warm tea?,Bir fincan ılık çay alabilir miyim?,Kan jag få en kopp varmt te?,,
Today is Wednesday.,The lamp is next to the sofa in the living room.,She drinks a glass of cool water.,O serin bir bardak su içer.,Hon dricker ett glas kallt vatten.,,
Tomorrow is Thursday.,The shoes are under the bed in the bedroom.,Where is the bag of rice?,Pirinç torbası nerede?,Var är rispåsen?,,
Today is Friday.,The fridge is next to the stove in the kitchen.,We cook rice every day.,Her gün pirinç pişiririz.,Vi kokar ris varje dag.,,
Tomorrow is Saturday.,The sink is between the shower and the toilet in the bathroom.,Is the chicken very spicy?,Tavuk çok acı mı?,Är kycklingen väldigt stark?,,
I work on Monday.,The mirror is above the sink and next to the window.,They eat chicken with vegetables.,Onlar tavuğu sebzelerle yerler.,De äter kyckling med grönsaker.,,
I work on Tuesday.,The book is on the desk next to the computer.,I add a little salt to the soup.,Çorbaya biraz tuz ekliyorum.,Jag har i lite salt i soppan.,,
I work on Wednesday.,The keys are on the shelf near the door.,This soup tastes very good.,Bu çorba çok lezzetli.,Den här soppan smakar väldigt gott.,,
I work on Thursday.,The television is in front of the sofa and next to the lamp.,Do you like cold fruit?,Soğuk meyve sever misin?,Gillar du kall frukt?,,
I work on Friday.,The chair is under the window in the dining room.,They cut a large watermelon.,Büyük bir karpuz kestiler.,De skar en stor vattenmelon.,,
I rest on Saturday.,The table is between two chairs in the kitchen.,Is this food expensive?,Bu yemek pahalı mı?,Är den här maten dyr?,,
I rest on Sunday.,The pillow is under the blanket on the bed.,I cook noodles with vegetables.,Sebzelerle erişte pişiriyorum.,Jag kokar nudlar med grönsaker.,,
This month is January.,The clock is above the door in the hallway.,Do you have milk today?,Bugün sütünüz var mı?,Har ni mjölk idag?,,
Next month is February.,The bag is next to the chair under the table.,The child drinks one bottle of milk.,Çocuk bir şişe süt içer.,Barnet dricker en flaska mjölk.,,
This month is March.,The plant is between the sofa and the window.,Can I buy one kilo of rice?,Bir kilo pirinç alabilir miyim?,Kan jag köpa ett kilo ris?,,
Next month is April.,The towels are under the sink in the bathroom.,She peels five potatoes.,O beş patates soyar.,Hon skalar fem potatisar.,,
This month is May.,The plates are in the cupboard above the counter.,Is there sugar in the coffee?,Kahvede şeker var mı?,Finns det socker i kaffet?,,
Next month is June.,The cup is next to the plate on the table.,I do not add sugar to my drink.,Ben içeceğime şeker eklemem.,Jag tillsätter inte socker i min dryck.,,
This month is July.,The computer is on the desk between two books.,I feel okay now.,Şimdi iyi hissediyorum.,Jag mår bra nu.,,
Next month is August.,The notebook is under the phone on the desk.,He is busy today.,O bugün meşgul.,Han är upptagen idag.,,
This month is September.,The coat is on the chair next to the door.,We are free this afternoon.,Bu öğleden sonra müsaitiz.,Vi är lediga i eftermiddag.,,
Next month is October.,The lamp is between the bed and the wall.,It is sunny this morning.,Bu sabah hava güneşli.,Det är soligt i morse.,,
This month is November.,The carpet is under the sofa in the living room.,It is cold in the evening.,Akşamları soğuk olur.,Det är kallt på kvällen.,,
Next month is December.,The shelf is above the desk and next to the window.,It rains for three hours.,Üç saattir yağmur yağıyor.,Det regnar i tre timmar.,,
I have a meeting in January.,The trash bin is under the sink in the kitchen.,The bus arrives in five minutes.,Otobüs beş dakikaya gelir.,Bussen kommer om fem minuter.,,
I have a trip in March.,The picture is on the wall between two windows.,The train leaves at seven o'clock.,Tren saat yedide kalkar.,Tåget avgår klockan sju.,,
I have a birthday in May.,The shoes are next to the door under the coat rack.,I wait for twenty minutes.,Yirmi dakikadır bekliyorum.,Jag väntar i tjugo minuter.,,
I have a holiday in August.,The table is under the light in the dining room.,She arrives early today.,O bugün erken geliyor.,Hon kommer tidigt idag.,,
I have an exam in June.,I have my phone in my bag.,He is late again.,Yine geç kaldı.,Han är sen igen.,,
I have a project in September.,I have my keys in my pocket.,We meet at nine in the morning.,Sabah saat dokuzda buluşuyoruz.,Vi ses klockan nio på morgonen.,,
I am twenty years old.,You have your phone on the table.,I need help now.,Şimdi yardıma ihtiyacım var.,Jag behöver hjälp nu.,,
She is thirty years old.,You have your bag near the door.,She asks for directions.,Yol tarifi istiyor.,Hon frågar efter vägen.,,
He is forty years old.,He has his phone at work.,He looks for the bathroom.,Tuvaleti arıyor.,Han letar efter badrummet.,,
They are fifty years old.,He has his keys in his bag.,We turn left at the corner.,Köşede sola dönüyoruz.,Vi svänger vänster vid hörnet.,,
I have one brother.,She has her phone in her hand.,The shop opens at eight.,Dükkan saat sekizde açılır.,Butiken öppnar klockan åtta.,,
I have two sisters.,She has her bag on her chair.,The shop closes at six.,Dükkan saat altıda kapanıyor.,Butiken stänger klockan sex.,,
I have three meetings today.,We have our phones with us.,I pay with cash.,Nakit öderim.,Jag betalar kontant.,,
I have four calls today.,We have our keys at home.,She pays by card.,O kartla öder.,Hon betalar med kort.,,
I have five appointments this week.,They have their bags in the car.,I need ten dollars.,On dolara ihtiyacım var.,Jag behöver tio dollar.,,
I have ten minutes now.,They have their phones charged.,The ticket costs five euros.,Bilet beş avro tutar.,Biljetten kostar fem euro.,,
I have twenty minutes today.,I have my wallet in my bag.,I lose my phone.,Telefonumu kaybettim.,Jag tappar bort min telefon.,,
I wait for five minutes.,I have my headphones with my phone.,She finds her keys.,O anahtarlarını bulur.,HTTP 200: Unexpected response,,
I work for eight hours.,You have your wallet in your pocket.,We call a taxi.,Taksi çağırıyoruz.,Vi ringer en taxi.,,
The meeting is at nine o’clock.,You have your keys next to your phone.,The taxi arrives in ten minutes.,Taksi on dakikaya gelir.,Taxin anländer om tio minuter.,,
The class is at ten thirty.,He has his wallet in his jacket.,I feel safe here.,Burada kendimi güvende hissediyorum.,Jag känner mig trygg här.,,
The shop opens at eight o’clock.,He has his bag under the desk.,The movie starts in five minutes.,Film beş dakikaya başlıyor.,Filmen börjar om fem minuter.,,
The shop closes at six o’clock.,She has her keys in her bag.,The mail arrives every day at noon.,Posta her gün öğlen gelir.,Posten kommer varje dag vid middagstid.,,
The train is at seven thirty.,She has her wallet at home.,Does the game start on Friday night?,Oyun Cuma gecesi başlıyor mu?,Börjar spelet på fredag kväll?,,
The appointment is on Friday.,We have our bags ready.,Does the airplane arrive on time?,Uçak zamanında varıyor mu?,Kommer flygplanet fram i tid?,,
I like coffee in the morning.,We have our phones on silent.,I leave for school every morning at eight.,Her sabah sekizde okula gidiyorum.,Jag ger mig av till skolan varje morgon klockan åtta.,,
I like tea in the afternoon.,They have their keys on the shelf.,I start my exercise routine on Thursday.,Perşembe günü egzersiz rutinine başlıyorum.,Jag börjar min träningsrutin på torsdag.,,
I like water with my meal.,They have their wallets with them.,You arrive at the gym every evening.,Her akşam spor salonuna gelirsin.,Du kommer till gymmet varje kväll.,,
I like milk in my coffee.,I have my bag at work.,You leave the library when it closes.,Kütüphane kapanınca kütüphaneden çıkarsın.,Du lämnar biblioteket när det stänger.,,
I like bread with butter.,You have your phone in your pocket.,The concert starts in an hour.,Konser bir saat sonra başlıyor.,Konserten börjar om en timme.,,
I like rice for lunch.,He has his phone on the desk.,The taxi arrives at the front door now.,Taksi şu an ön kapıya geliyor.,Taxin kommer till ytterdörren nu.,,
I like pasta for dinner.,She has her bag near the door.,He starts the car at six in the morning.,Sabah altıda arabayı çalıştırır.,Han startar bilen klockan sex på morgonen.,,
I like chicken with rice.,We have our keys together.,He leaves the keys on the kitchen table.,Anahtarları mutfak masasının üzerine bırakır.,Han lämnar nycklarna på köksbordet.,,
I like fish with vegetables.,They have their phones in their bags.,She arrives at the airport on Sunday.,Pazar günü havaalanına varır.,Hon kommer till flygplatsen på söndag.,,
I like fruit after dinner.,I have a big black bag.,She leaves her office late on Wednesdays.,Çarşamba günleri ofisinden geç ayrılır.,Hon lämnar sitt kontor sent på onsdagar.,,
I like apples and bananas.,You have a small blue phone.,We start the lesson at two o'clock.,Derse saat ikide başlıyoruz.,Vi börjar lektionen klockan två.,,
I like oranges in winter.,He uses an old white computer.,We leave the party before ten.,Partiden ondan önce ayrılırız.,Vi lämnar festen före tio.,,
I like cheese with bread.,She buys a new red book.,They arrive in the city on Thursday evening.,Perşembe akşamı şehre varıyorlar.,De anländer till staden på torsdag kväll.,,
I like eggs for breakfast.,We see a big green table.,They start their journey tomorrow morning.,Yarın sabah yolculuklarına başlıyorlar.,De börjar sin resa i morgon bitti.,,
I like soup when it is cold.,They carry small brown bags.,Does the bank open at nine o'clock?,Banka saat dokuzda mı açılıyor?,Öppnar banken klockan nio?,,
I like salad with lunch.,I wear an old black jacket.,Does the ferry leave every hour?,Feribot her saat başı kalkıyor mu?,Går färjan varje timme?,,
I like chocolate after work.,You buy a new white shirt.,I arrive at the shop before it opens.,Dükkan açılmadan önce varırım.,Jag kommer till butiken innan den öppnar.,,
I like ice cream in summer.,He has a big gray suitcase.,I leave the window open at night.,Geceleri pencereyi açık bırakırım.,Jag lämnar fönstret öppet på natten.,,
I like cake on my birthday.,She holds a small yellow notebook.,You start the computer at work.,İşte bilgisayarı açarsınız.,Du startar datorn på jobbet.,,
I like juice in the morning.,We need a new black charger.,You arrive home late on Tuesdays.,Salı günleri eve geç gelirsin.,Du kommer hem sent på tisdagar.,,
I do not like strong coffee.,They use old blue chairs.,He starts to cook dinner at seven.,Saat yedide akşam yemeği yapmaya başlar.,Han börjar laga middag klockan sju.,,
I do not like spicy food.,I see a big red car.,He leaves the park when it rains.,Yağmur yağınca parktan ayrılır.,Han lämnar parken när det regnar.,,
I do not like sweet drinks.,You own a small green bike.,She arrives at the wedding on Saturday.,Cumartesi günü düğüne gelir.,Hon kommer till bröllopet på lördag.,,
I do not like cold soup.,He reads an old brown book.,She leaves the store with many bags.,O birçok çantayla mağazadan çıkıyor.,Hon lämnar butiken med många påsar.,,
I do not like raw fish.,She opens a new pink notebook.,We start the game in the afternoon.,Oyuna öğleden sonra başlarız.,Vi börjar spelet på eftermiddagen.,,
I do not like onions.,We move a big white box.,We arrive at the beach in June.,Haziran'da plaja varırız.,Vi kommer till stranden i juni.,,
I do not like too much sugar.,They clean small black tables.,They leave for the airport in a taxi.,Havalimanına taksiyle yola çıkarlar.,De åker till flygplatsen med taxi.,,
I do not like fast food.,I like a new blue pen.,They start their lunch break at one.,Saat birde öğle aralarına başlarlar.,De börjar sin lunchrast klockan ett.,,
I do not like late dinners.,You find an old gray phone.,The winter starts in December.,Kış Aralık'ta başlar.,Vintern börjar i december.,,
I do not like warm soda.,He carries a big brown backpack.,The spring arrives in March.,İlkbahar Mart'ta gelir.,Våren kommer i mars.,,
I am hungry now.,She wears a small black watch.,I leave the office on Friday afternoon.,Cuma öğleden sonra ofisten ayrılırım.,Jag lämnar kontoret på fredag eftermiddag.,,
I am thirsty now.,We buy new green plates.,We arrive at the stadium before the match.,Maçtan önce stadyuma varırız.,Vi kommer till stadion före matchen.,,
I am at a restaurant.,They sell old red sofas.,The black remote is under the sofa.,Siyah kumanda kanepenin altında.,Den svarta fjärrkontrollen är under soffan.,,
I am at a café.,I choose a small white cup.,My keys are next to the television.,Anahtarlarım televizyonun yanında.,Mina nycklar är bredvid televisionen.,,
I am at the shop.,You repair an old black clock.,The coffee table is between the chairs.,Sehpa sandalyelerin arasında.,Soffbordet är mellan stolarna.,,
I have breakfast at home.,He opens a new silver laptop.,She sits next to the window in the living room.,Oturma odasında pencerenin yanında oturur.,Hon sitter bredvid fönstret i vardagsrummet.,,
I have lunch at work.,She uses a big purple folder.,He hides his shoes under the bed.,Ayakkabılarını yatağın altına saklar.,Han gömmer sina skor under sängen.,,
I have dinner with friends.,We store small blue boxes.,The lamp stands between the bed and the desk.,Lamba yatak ve masanın arasında duruyor.,Lampan står mellan sängen och skrivbordet.,,
I have a table for two.,They throw away old yellow papers.,We eat dinner next to the fireplace.,Şöminenin yanında akşam yemeği yiyoruz.,Vi äter middag bredvid eldstaden.,,
I have a menu in my hand.,,The carpet is under the dining table.,Halı yemek masasının altında.,Mattan är under matbordet.,,
I have a question about the menu.,,The mirror is between the two cupboards.,Ayna iki dolabın arasında.,Spegeln är mellan de två skåpen.,,
I have an order now.,,They sleep next to each other in the bedroom.,Yatak odasında yan yana uyuyorlar.,De sover bredvid varandra i sovrummet.,,
I have water with lemon.,,I keep the boxes under the stairs.,Kutuları merdivenlerin altında saklarım.,Jag förvarar lådorna under trappan.,,
I have coffee with milk.,,The fridge is next to the kitchen sink.,Buzdolabı mutfak evyesinin yanında.,Kylskåpet står bredvid diskhon.,,
I have tea without sugar.,,The microwave sits between the toaster and the stove.,"Mikrodalga, tost makinesi ve ocağın arasında duruyor.",Mikrovågsugnen står mellan brödrosten och spisen.,,
I have bread and cheese.,,You leave your coat next to the front door.,Montunu ön kapının yanına bırakırsın.,Du lämnar din kappa bredvid ytterdörren.,,
I have rice and chicken.,,The dog sleeps under the wooden table.,Köpek tahta masanın altında uyuyor.,Hunden sover under träbordet.,,
I have fish and salad.,,The bookshelf is between the door and the wall.,Kitaplık kapı ile duvarın arasında.,Bokhyllan är mellan dörren och väggen.,,
I have pasta with vegetables.,,Is the cat hiding under the armchair?,Kedi koltuğun altında mı saklanıyor?,Är katten gömmer sig under fåtöljen?,,
