Order,Tier,Topic,English,Turkish,Swedish,Farsi,Hindi,Is New
48,Novice,2. About Me,I do not have my bus pass today.,Bugün otobüs kartım yanımda yok.,Jag har inte mitt busskort idag.,,,
49,Novice,2. About Me,I am carrying your notebook in my bag.,Defterini çantamda taşıyorum.,Jag bär din anteckningsbok i min väska.,,,
50,Novice,2. About Me,I do not have his email address written down.,Onun e-posta adresi bende yazılı değil.,Jag har inte hans e-postadress nedskriven.,,,
51,Novice,2. About Me,I am holding my identity card.,Kimlik kartımı tutuyorum.,Jag håller i mitt identitetskort.,,,
52,Novice,2. About Me,I have a brown wallet in my jacket.,Ceketimde kahverengi bir cüzdanım var.,Jag har en brun plånbok i min jacka.,,,
53,Novice,2. About Me,I have been waiting here for five minutes.,Burada beş dakikadır bekliyorum.,Jag har väntat här i fem minuter.,,,
54,Novice,2. About Me,I have ten coins left after the purchase.,Satın alımdan sonra on madeni param kaldı.,Jag har tio mynt kvar efter köpet.,,,
55,Novice,2. About Me,I am looking for the entrance.,Girişi arıyorum.,Jag letar efter ingången.,,,
56,Novice,2. About Me,I am looking for the information center.,Bilgi merkezini arıyorum.,Jag letar efter informationscentret.,,,
57,Novice,2. About Me,I am not sure where my gate is.,Kapımın nerede olduğundan emin değilim.,Jag vet inte var min gate är.,,,
58,Novice,2. About Me,I have to arrive at the airport early.,Havalimanına erken varmam gerekiyor.,Jag måste komma till flygplatsen tidigt.,,,
59,Novice,2. About Me,I have to show my ID to the attendant.,Kimliğimi görevliye göstermek zorundayım.,Jag måste visa mitt ID för skötaren.,,,
60,Novice,2. About Me,I have to pack my suitcase tonight.,Bu gece valizimi toplamam gerekiyor.,Jag måste packa min resväska ikväll.,,,
61,Novice,2. About Me,I have to use stairs because the lift is broken.,Merdivenleri kullanmak zorundayım çünkü asansör bozuk.,Jag måste ta trapporna eftersom hissen är trasig.,,,
62,Novice,2. About Me,I am seeing a movie tonight because I need a break.,Bu akşam bir film izleyeceğim çünkü bir molaya ihtiyacım var.,Jag ska se en film ikväll för att jag behöver en paus.,,,
63,Novice,2. About Me,I am changing my phone plan because of a problem.,Bir sorun yüzünden telefon tarifemi değiştiriyorum.,Jag byter mitt mobilabonnemang på grund av ett problem.,,,
64,Novice,2. About Me,I am trying a new restaurant out of curiosity.,Meraktan yeni bir restoran deniyorum.,Jag provar en ny restaurang av nyfikenhet.,,,
65,Novice,2. About Me,I am switching my phone plan to save money.,Para biriktirmek için telefon tarifemi değiştiriyorum.,Jag byter mitt mobilabonnemang för att spara pengar.,,,
66,Novice,2. About Me,I am trying a new restaurant to test it.,Yeni bir restoranı test etmek için deniyorum.,Jag provar en ny restaurang för att testa den.,,,
67,Novice,2. About Me,I am taller than my older brother.,Ben abimden daha uzunum.,Jag är längre än min äldre bror.,,,
68,Novice,2. About Me,I am more careful with money than my roommate.,Ben ev arkadaşımdan para konusunda daha dikkatliyim.,Jag är mer försiktig med pengar än min rumskamrat.,,,
69,Novice,2. About Me,I have far too much work this weekend.,Bu hafta sonu yapacak çok fazla işim var.,Jag har alldeles för mycket jobb i helgen.,,,
70,Novice,2. About Me,I do not have enough money for a laptop.,Dizüstü bilgisayar için yeterli param yok.,Jag har inte tillräckligt med pengar för en laptop.,,,
71,Novice,2. About Me,I do not have enough information to decide.,Karar vermek için yeterli bilgim yok.,Jag har inte tillräckligt med information för att bestämma mig.,,,
72,Novice,2. About Me,I am very interested in playing competitive tennis.,Rekabetçi tenis oynamaya çok hevesliyim.,Jag är mycket intresserad av att spela tävlingstennis.,,,
73,Novice,2. About Me,I am the best at serving in my club.,Kulübümde servis yapmada en iyisiyim.,Jag är bäst på att serva i min klubb.,,,
74,Novice,2. About Me,I am interested in collecting rare postage stamps.,Nadir posta pulları toplamaya ilgi duyuyorum.,Jag är intresserad av att samla på sällsynta frimärken.,,,
75,Novice,2. About Me,I have the most expensive collection in town.,Kasabadaki en pahalı koleksiyona sahibim.,Jag har den dyraste samlingen i stan.,,,
76,Novice,2. About Me,I am very interested in studying ancient history.,Antik tarih okumakla çok ilgileniyorum.,Jag är mycket intresserad av att studera forntida historia.,,,
77,Novice,2. About Me,I am quite good at remembering historical dates.,Tarihi tarihlerini hatırlama konusunda oldukça iyiyim.,Jag är ganska bra på att komma ihåg historiska datum.,,,
78,Novice,2. About Me,I am bad at singing for an audience.,Seyirci karşısında şarkı söylemekte kötüyüm.,Jag är dålig på att sjunga inför en publik.,,,
79,Novice,2. About Me,I am the quietest person in the choir.,Korodaki en sessiz kişi benim.,Jag är den tystaste personen i kören.,,,
80,Novice,2. About Me,I am interested in gardening during the spring.,İlkbaharda bahçecilikle ilgileniyorum.,Jag är intresserad av trädgårdsarbete under våren.,,,
81,Novice,2. About Me,I have the most beautiful flowers on the street.,Sokaktaki en güzel çiçeklere sahibim.,Jag har de vackraste blommorna på gatan.,,,
82,Novice,2. About Me,I am angry because someone stole my bicycle.,Kızgınım çünkü birisi bisikletimi çaldı.,Jag är arg eftersom någon stal min cykel.,,,
83,Novice,2. About Me,I am lonely because my friends moved to different cities.,Arkadaşlarım farklı şehirlere taşındığı için yalnızım.,Jag är ensam eftersom mina vänner flyttade till olika städer.,,,
84,Novice,2. About Me,I am exhausted because I ran a full marathon yesterday.,Dün tam maraton koştuğum için çok yorgunum.,Jag är utmattad eftersom jag sprang ett helt maraton igår.,,,
85,Novice,2. About Me,I am thirsty because the afternoon sun is very hot.,Susadım çünkü öğleden sonra güneşi çok sıcak.,Jag är törstig eftersom eftermiddagssolen är väldigt varm.,,,
86,Novice,2. About Me,I have visited the Great Wall of China twice already.,Çin Seddi'ni zaten iki kez ziyaret ettim.,Jag har redan besökt Kinesiska muren två gånger.,,,
87,Novice,2. About Me,I have never eaten raw sea urchin at a restaurant.,Restoranda hiç çiğ deniz kestanesi yemedim.,Jag har aldrig ätit rå sjöborre på en restaurang.,,,
88,Novice,2. About Me,I have lost my house keys three times this month.,Bu ay ev anahtarlarımı üç kez kaybettim.,Jag har tappat bort mina husnycklar tre gånger den här månaden.,,,
89,Novice,2. About Me,I have just received an important email from the university.,Üniversiteden az önce önemli bir e-posta aldım.,Jag har precis fått ett viktigt mejl från universitetet.,,,
90,Novice,2. About Me,I have always wanted to learn how to fly.,Her zaman uçmayı öğrenmek istemişimdir.,Jag har alltid velat lära mig flyga.,,,
91,Novice,2. About Me,"I have just finished reading a very long, complex book.",Az önce çok uzun ve karmaşık bir kitap okumayı bitirdim.,"Jag har just läst klart en mycket lång, komplex bok.",,,
92,Novice,2. About Me,I have just baked a fresh loaf for our lunch.,Az önce öğle yemeğimiz için taze bir somun pişirdim.,Jag har precis bakat ett färskt bröd till vår lunch.,,,
93,Novice,2. About Me,I have never been so tired after a day's work.,Bir günlük işin ardından hiç bu kadar yorgun olmamıştım.,Jag har aldrig varit så trött efter en dags arbete.,,,
94,Novice,2. About Me,I have seen many beautiful sunsets from my balcony.,Balkonumdan birçok güzel gün batımı gördüm.,Jag har sett många vackra solnedgångar från min balkong.,,,
95,Novice,2. About Me,I have lived in this apartment for ten years.,Bu apartmanda on yıldır yaşıyorum.,Jag har bott i den här lägenheten i tio år.,,,
96,Novice,2. About Me,I have known my best friend since we were kids.,En iyi arkadaşımı çocukluğumuzdan beri tanıyorum.,Jag har känt min bästa vän sedan vi var barn.,,,
97,Novice,2. About Me,I have had this mobile phone for three weeks.,Bu cep telefonu üç haftadır bende.,Jag har haft den här mobiltelefonen i tre veckor.,,,
98,Novice,2. About Me,I have been awake since five o'clock this morning.,Bu sabah saat beşten beri uyanığım.,Jag har varit vaken sedan klockan fem i morse.,,,
99,Novice,2. About Me,I have carried this heavy bag for several miles.,Bu ağır çantayı birkaç mil boyunca taşıdım.,Jag har burit den här tunga väskan i flera mil.,,,
100,Novice,2. About Me,I have been the group leader since the beginning.,Grubun lideri başından beri benim.,Jag har varit gruppledare sedan början.,,,
101,Novice,2. About Me,I am inclined to think seeing a specialist makes sense.,Bir uzmana görünmenin mantıklı olduğunu düşünme eğilimindeyim.,Jag lutar åt att tycka att det är vettigt att träffa en specialist.,,,
102,Novice,2. About Me,I am convinced taking the train saves you from traffic.,Trene binmenin trafikten kurtardığına eminim.,Jag är övertygad om att åka tåg besparar dig trafiken.,,,
103,Novice,2. About Me,I am not sure your personal data is safe online.,Kişisel verilerinizin çevrimiçi güvende olduğundan emin değilim.,Jag är inte säker på att dina personuppgifter är säkra online.,,,
104,Novice,2. About Me,I am convinced cutting down on phone time would help.,Telefon süresini azaltmanın faydalı olacağına eminim.,Jag är övertygad om att minska telefontiden skulle hjälpa.,,,
105,Novice,2. About Me,I am fairly certain daily practice will pay off eventually.,Günlük pratiğin sonunda karşılığını vereceğinden oldukça eminim.,Jag är ganska säker på att daglig övning kommer att löna sig så småningom.,,,
106,Novice,2. About Me,I am not sure it is safe to walk home alone.,Eve yalnız yürümenin güvenli olduğundan emin değilim.,Jag är inte säker på att det är säkert att gå hem ensam.,,,
107,Novice,2. About Me,I am convinced keeping a record of expenses would help.,Harcamaların kaydını tutmanın faydalı olacağına ikna oldum.,Jag är övertygad om att föra register över utgifter skulle hjälpa.,,,
108,Novice,2. About Me,I am not entirely sure this address is correct.,Bu adresin tam olarak doğru olduğundan emin değilim.,Jag är inte helt säker på att den här adressen stämmer.,,,
109,Novice,2. About Me,I am certain the steak here is the best in town.,Buradaki bifteğin şehirdeki en iyisi olduğuna eminim.,Jag är säker på att biffen här är den bästa i stan.,,,
110,Novice,2. About Me,I am more inclined to stay in than go out tonight.,Bu gece dışarı çıkmaktansa evde kalmaya daha meyilliyim.,Jag känner mer för att stanna hemma än att gå ut ikväll.,,,
111,Novice,2. About Me,I am convinced city life suits him better than the country.,Şehir hayatının ona kırsaldan daha iyi geldiğine ikna oldum.,Jag är övertygad om att stadslivet passar honom bättre än landet.,,,
112,Novice,2. About Me,I am not sure if I prefer the cinema or home.,Sinemayı mı yoksa evde kalmayı mı tercih ettiğimden emin değilim.,Jag är inte säker på om jag föredrar bio eller hemma.,,,
113,Novice,2. About Me,I am convinced summer travel is better than winter trips.,Yaz seyahatlerinin kış gezilerinden daha iyi olduğuna ikna oldum.,Jag är övertygad om att sommarresor är bättre än vinterresor.,,,
114,Novice,2. About Me,I am not sure if I would pick a hot climate.,"Sıcak bir iklimi tercih eder miydim, emin değilim.",Jag är osäker på om jag skulle välja ett varmt klimat.,,,
115,Novice,2. About Me,I am not certain if calling is better than texting.,Aramanın mesajlaşmaktan daha iyi olup olmadığından emin değilim.,Jag är inte säker på om att ringa är bättre än att skicka meddelanden.,,,
116,Novice,2. About Me,I am convinced cycling beats sitting in traffic for him.,Onun için bisiklet sürmenin trafikte beklemekten daha iyi olduğuna ikna oldum.,Jag är övertygad om att cykling slår att sitta i trafiken för honom.,,,
117,Novice,2. About Me,I am sure she prefers water over sugary drinks.,Suyu şekerli içeceklere tercih ettiğinden eminim.,Jag är säker på att hon föredrar vatten framför sockrade drycker.,,,
118,Novice,2. About Me,I am convinced learning a language is more exciting than math.,Dil öğrenmenin matematikten daha heyecan verici olduğuna ikna oldum.,Jag är övertygad om att lära sig ett språk är mer spännande än matte.,,,
119,Novice,2. About Me,I am certain telling the truth will avoid future trouble.,Doğruyu söylemenin ileride sorunları önleyeceğinden eminim.,Jag är säker på att tala sanning kommer att undvika framtida problem.,,,
120,Novice,2. About Me,I am not sure if I would choose salary or time.,Maaşı mı yoksa zamanı mı seçeceğime emin değilim.,Jag är osäker på om jag skulle välja lön eller tid.,,,
121,Novice,2. About Me,I am not entirely sure what will happen next.,Bundan sonra ne olacağından tam olarak emin değilim.,Jag är inte helt säker på vad som kommer att hända härnäst.,,,
122,Novice,2. About Me,I do not have enough information to decide yet.,Henüz karar vermek için yeterli bilgiye sahip değilim.,Jag har inte tillräckligt med information för att fatta ett beslut än.,,,
123,Novice,2. About Me,I am having trouble sleeping because of the roadworks.,Yol çalışmaları yüzünden uyuyamıyorum.,Jag har svårt att sova på grund av vägarbetet.,,,
124,Novice,2. About Me,I am not sure this is the best idea.,"Bu en iyi fikir mi, emin değilim.",Jag är inte säker på att det här är den bästa idén.,,,
125,Novice,2. About Me,"I am open to it, but I have some concerns.","Buna açığım, ama bazı endişelerim var.","Jag är öppen för det, men jag har vissa betänkligheter.",,,
126,Novice,2. About Me,I am not going to argue about this tonight.,Bu gece bu konuda tartışmayacağım.,Jag kommer inte att diskutera det här ikväll.,,,
127,Novice,2. About Me,I lived in Paris when the cathedral was being restored.,Katedral restore ediliyorken Paris'te yaşıyordum.,Jag bodde i Paris när katedralen restaurerades.,,,
128,Novice,2. About Me,I am not sure the budget supports this expansion.,Bütçenin bu genişlemeyi destekleyip desteklemediğinden emin değilim.,Jag är inte säker på att budgeten stöder denna expansion.,,,
129,Novice,2. About Me,I am feeling a bit uneasy about the recent team changes.,Son takım değişiklikleri konusunda biraz tedirginim.,Jag känner mig lite orolig över de senaste lagförändringarna.,,,
130,Novice,2. About Me,I am not entirely convinced that this diet is healthy.,Bu diyetin sağlıklı olduğuna tamamen ikna olmuş değilim.,Jag är inte helt övertygad om att den här dieten är hälsosam.,,,
131,Novice,2. About Me,I am still unsure if this house truly suits us.,Hala bu evin bize gerçekten uygun olup olmadığından emin değilim.,Jag är fortfarande osäker om det här huset verkligen passar oss.,,,
132,Novice,2. About Me,I am unsure if this is the right launch time.,"Bu doğru fırlatma zamanı mı, emin değilim.",Jag är osäker om detta är rätt lanseringstid.,,,
133,Novice,2. About Me,I am not sure the return is worth the cost.,Getirinin maliyete değip değmeyeceğinden emin değilim.,Jag är inte säker på att avkastningen är värd kostnaden.,,,
134,Novice,2. About Me,I have never waited this long for a home delivery.,Eve teslimat için bu kadar uzun süre hiç beklememiştim.,Jag har aldrig väntat så här länge på en hemleverans.,,,
135,Novice,2. About Me,I have never seen luggage disappear that fast.,Hiç bu kadar hızlı kaybolan bir bagaj görmedim.,Jag har aldrig sett bagage försvinna så snabbt.,,,
136,Novice,3. People & Family,He is my younger brother.,O benim küçük erkek kardeşimdir.,Han är min yngre bror.,,,
137,Novice,3. People & Family,He lives with our parents.,"O, anne babamızla birlikte yaşıyor.",Han bor med våra föräldrar.,,,
138,Novice,3. People & Family,She is a talented artist.,O yetenekli bir sanatçı.,Hon är en talangfull konstnär.,,,
139,Novice,3. People & Family,You are a good friend.,İyi bir arkadaşsın.,Du är en bra vän.,,,
140,Novice,3. People & Family,He is an engineer.,O bir mühendis.,Han är ingenjör.,,,
141,Novice,3. People & Family,She is my older sister.,O benim ablam.,Hon är min storasyster.,,,
142,Novice,3. People & Family,He is a chef.,O bir şeftir.,Han är kock.,,,
143,Novice,3. People & Family,She is a lawyer.,O bir avukat.,Hon är advokat.,,,
144,Novice,3. People & Family,He is a pilot.,O bir pilot.,Han är en pilot.,,,
145,Novice,3. People & Family,She is a nurse.,O bir hemşire.,Hon är sjuksköterska.,,,
146,Novice,3. People & Family,She goes to the cinema with friends.,"O, arkadaşlarıyla sinemaya gidiyor.",Hon går på bio med vänner.,,,
147,Novice,3. People & Family,I write messages to my family.,Aileme mesajlar yazarım,Jag skriver meddelanden till min familj.,,,
148,Novice,3. People & Family,The child drinks one bottle of milk.,Çocuk bir şişe süt içer.,Barnet dricker en flaska mjölk.,,,
149,Novice,3. People & Family,She arrives at the wedding on Saturday.,Cumartesi günü düğüne gelir.,Hon kommer till bröllopet på lördag.,,,
150,Novice,3. People & Family,We sit across from our parents at dinner.,Yemekte ailemizin karşısında oturuyoruz.,Vi sitter mittemot våra föräldrar vid middagen.,,,
151,Novice,3. People & Family,I keep her wedding photo in my wallet.,Onun düğün fotoğrafını cüzdanımda saklarım.,Jag har hennes bröllopsfoto i min plånbok.,,,
152,Novice,3. People & Family,Her birthday gift is hidden in my closet.,Onun doğum günü hediyesi benim dolabımda saklı.,Hennes födelsedagspresent är gömd i min garderob.,,,
153,Novice,3. People & Family,I need to talk to a close friend.,Yakın bir arkadaşımla konuşmam lazım.,Jag behöver prata med en nära vän.,,,
154,Novice,3. People & Family,Where is the section for children?,Çocuklar için bölüm nerede?,Var är avdelningen för barn?,,,
155,Novice,3. People & Family,The teacher can explain the difficult lesson.,Öğretmen zor dersi açıklayabilir.,Läraren kan förklara den svåra lektionen.,,,
156,Novice,3. People & Family,She can take care of her younger sister.,Küçük kız kardeşine bakabilir.,Hon kan ta hand om sin yngre syster.,,,
157,Novice,3. People & Family,Celebrating his birthday next week is a better idea.,Gelecek hafta doğum gününü kutlamak daha iyi bir fikir.,Att fira hans födelsedag nästa vecka är en bättre idé.,,,
158,Novice,3. People & Family,The baby is six months old and recognizes voices.,Bebek altı aylık ve sesleri tanıyor.,Bebisen är sex månader gammal och känner igen röster.,,,
159,Novice,3. People & Family,They cannot leave their son alone at home.,Oğullarını evde yalnız bırakamazlar.,De kan inte lämna sin son ensam hemma.,,,
160,Novice,3. People & Family,I can help my parents with bills now.,Artık aileme faturalar konusunda yardım edebilirim.,Jag kan hjälpa mina föräldrar med räkningar nu.,,,
161,Novice,3. People & Family,You can talk to your older cousin for advice.,Tavsiye almak için büyük kuzeninle konuşabilirsin.,Du kan prata med din äldre kusin för råd.,,,
162,Novice,3. People & Family,Watching my nephew this afternoon might be possible.,Bu öğleden sonra yeğenime bakmam mümkün olabilir.,Att passa min brorson i eftermiddag kan vara möjligt.,,,
163,Novice,3. People & Family,My aunt can help with childcare for a while.,Teyzem bir süre çocuk bakımına yardımcı olabilir.,Min faster kan hjälpa till med barnpassning ett tag.,,,
164,Novice,3. People & Family,She cannot lift the baby due to health problems.,Sağlık sorunları nedeniyle bebeği kaldıramıyor.,Hon kan inte lyfta bebisen på grund av hälsoproblem.,,,
165,Novice,3. People & Family,My grandmother is eighty-two and still very active.,Büyükannem seksen iki yaşında ve hala çok aktif.,Min mormor är åttiotvå och fortfarande väldigt aktiv.,,,
166,Novice,3. People & Family,My grandfather can tell stories about our family history.,"Dedem, aile tarihimiz hakkında hikayeler anlatabilir.",Min farfar kan berätta historier om vår släkthistoria.,,,
167,Novice,3. People & Family,My son is eleven and can make breakfast.,Oğlum on bir yaşında ve kahvaltı yapabilir.,Min son är elva år och kan laga frukost.,,,
168,Novice,3. People & Family,My daughter is three and can count to ten.,Kızım üç yaşında ve ona kadar sayabilir.,Min dotter är tre år och kan räkna till tio.,,,
169,Novice,3. People & Family,My uncle is fifty and can drive us there.,Amcam elli yaşında ve bizi oraya götürebilir.,Min farbror är femtio och kan köra oss dit.,,,
170,Novice,3. People & Family,My niece is fourteen and can babysit.,Yeğenim on dört yaşında ve çocuk bakabilir.,Min systerdotter är fjorton och kan sitta barnvakt.,,,
171,Novice,3. People & Family,We can plan a trip for my parents' anniversary.,Annemle babamın yıldönümü için bir gezi planlayabiliriz.,Vi kan planera en resa för mina föräldrars bröllopsdag.,,,
172,Novice,3. People & Family,Can we invite the whole family including the kids?,Çocuklar da dahil tüm aileyi davet edebilir miyiz?,Kan vi bjuda in hela familjen inklusive barnen?,,,
173,Novice,3. People & Family,I sometimes stop to ask a neighbor for advice.,Bazen bir komşuya tavsiye sormak için dururum.,Ibland stannar jag för att fråga en granne om råd.,,,
174,Novice,3. People & Family,She lets her family know if dinner is late.,"O, akşam yemeği gecikirse ailesine haber verir.",Hon meddelar sin familj om middagen är sen.,,,
175,Novice,3. People & Family,After school we often meet friends in the park.,Okuldan sonra sık sık parkta arkadaşlarımızla buluşuruz.,Efter skolan träffar vi ofta vänner i parken.,,,
176,Novice,3. People & Family,During winter I exercise less and talk with friends.,Kışın daha az egzersiz yaparım ve arkadaşlarımla konuşurum.,Under vintern tränar jag mindre och pratar med vänner.,,,
177,Novice,3. People & Family,He often helps his younger sister with her work.,Sık sık küçük kız kardeşine işlerinde yardım eder.,Han hjälper ofta sin yngre syster med hennes arbete.,,,
178,Novice,3. People & Family,If she is unsure she asks a friend.,Emin değilse bir arkadaşına sorar.,Om hon är osäker frågar hon en vän.,,,
179,Novice,3. People & Family,Do you usually meet friends on Fridays?,Genellikle Cumaları arkadaşlarınla buluşur musun?,Brukar du träffa vänner på fredagar?,,,
180,Novice,3. People & Family,When he writes to his parents it takes time.,Ailesine yazdığında zaman alır.,När han skriver till sina föräldrar tar det tid.,,,
181,Novice,3. People & Family,Does she have to buy a ticket for the baby?,Bebek için bir bilet almak zorunda mı?,Måste hon köpa en biljett till barnet?,,,
182,Novice,3. People & Family,He brought some fresh flowers for his mother.,Annesine taze çiçekler getirdi.,Han tog med sig några färska blommor till sin mamma.,,,
183,Novice,3. People & Family,We had a wonderful time at the wedding.,Düğünde harika zaman geçirdik.,Vi hade en underbar tid på bröllopet.,,,
184,Novice,3. People & Family,We met our old friends at the cafe.,Kafede eski arkadaşlarımızla buluştuk.,Vi träffade våra gamla vänner på kaféet.,,,
185,Novice,3. People & Family,They sent a long letter to their family.,Ailelerine uzun bir mektup gönderdiler.,De skickade ett långt brev till sin familj.,,,
186,Novice,3. People & Family,I became a teacher three years ago.,Üç yıl önce öğretmen oldum.,Jag blev lärare för tre år sedan.,,,
187,Novice,3. People & Family,I sold my old bicycle to a neighbor.,Eski bisikletimi bir komşuya sattım.,Jag sålde min gamla cykel till en granne.,,,
188,Novice,3. People & Family,She visited her grandmother last weekend.,Geçen hafta sonu büyükannesini ziyaret etti.,Hon besökte sin mormor förra helgen.,,,
189,Novice,3. People & Family,We danced at the wedding until midnight.,Düğünde gece yarısına kadar dans ettik.,Vi dansade på bröllopet till midnatt.,,,
190,Novice,3. People & Family,I helped my neighbor with his heavy bags.,Komşuma ağır çantalarını taşımasında yardım ettim.,Jag hjälpte min granne med hans tunga väskor.,,,
191,Novice,3. People & Family,You surprised your parents with a phone call.,Ebeveynlerini bir telefonla şaşırttın.,Du överraskade dina föräldrar med ett telefonsamtal.,,,
192,Novice,3. People & Family,I might visit my younger sister if I have time.,"Vaktim olursa, küçük kız kardeşimi ziyaret edebilirim.",Jag kanske åker och hälsar på min yngre syster om jag har tid.,,,
193,Novice,3. People & Family,He plans to visit his parents in a few days.,Birkaç gün içinde ebeveynlerini ziyaret etmeyi planlıyor.,Han planerar att besöka sina föräldrar om några dagar.,,,
194,Novice,3. People & Family,I believe you are attending a wedding this year.,Sanırım bu yıl bir düğüne katılıyorsun.,Jag tror du ska gå på ett bröllop i år.,,,
195,Novice,3. People & Family,He is celebrating his birthday in a few weeks.,Birkaç hafta içinde doğum gününü kutluyor.,Han firar sin födelsedag om några veckor.,,,
196,Novice,3. People & Family,You are still attending that wedding next month.,Gelecek ay o düğüne hâlâ katılacaksın.,Du ska fortfarande gå på det där bröllopet nästa månad.,,,
197,Novice,3. People & Family,He is celebrating his birthday with close friends.,Doğum gününü yakın arkadaşlarıyla kutluyor.,Han firar sin födelsedag med nära vänner.,,,
198,Novice,3. People & Family,You are more patient than your friend.,Sen arkadaşından daha sabırlısın.,Du är mer tålmodig än din vän.,,,
199,Novice,3. People & Family,People say they are wealthier than the royal family.,İnsanlar kraliyet ailesinden daha zengin olduklarını söylüyorlar.,Folk säger att de är förmögnare än kungafamiljen.,,,
200,Novice,3. People & Family,She seems more creative than her younger sister.,Küçük kız kardeşinden daha yaratıcı görünüyor.,Hon verkar mer kreativ än sin yngre syster.,,,
201,Novice,3. People & Family,We are even more excited than the children today.,Bugün çocuklardan bile daha heyecanlıyız.,Vi är ännu mer exalterade än barnen idag.,,,
202,Novice,3. People & Family,He is more generous than his wealthy uncle.,Varlıklı amcasından daha cömerttir.,Han är generösare än sin rike farbror.,,,
203,Novice,3. People & Family,Your brother is welcome to come along with us.,Abin de bizimle gelebilir.,Din bror är välkommen att följa med oss.,,,
204,Novice,3. People & Family,The wedding band is going to start playing soon.,Düğün orkestrası yakında çalmaya başlayacak.,Bröllopsbandet ska börja spela snart.,,,
205,Novice,3. People & Family,Her birthday celebration needs something truly special.,Doğum günü kutlamasının gerçekten özel bir şeye ihtiyacı var.,Hennes födelsedagsfirande behöver något riktigt speciellt.,,,
206,Novice,3. People & Family,Sunday could work well for meeting your parents.,Pazar günü anne babanla görüşmek için uygun olabilir.,Söndag skulle kunna passa bra för att träffa dina föräldrar.,,,
